央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?userid=423579792&sign=24df23bcd4d4d48b47143972bc3a67747fa0ae6ab6550a30dc4e41de535d441d81e05bb263dc3f2db9e5c500d323502483f80dd0a0deedd9f537c8aff7eb7ecc4363029465f321dc515c8be2304c20a3&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=423579792&sign=131bf9a91ea7806cc89dcd70274121f04349dba04b4f6eb9d34af84f5f61cd98ef26098834435f9976755c45d309e55b473ef0303e4848017a7ae77062122d6684539eddaa5671ab7004f3d7&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?userid=423579792&sign=cc6b5c0be5c6c69483fd844869f6c8df4df05d151cc77f9032a431666e41955a13b721b3d2241693b22729c73f6be122fde1cc4aca859dcbe65647cd030f8dbf83387a17f2327b1e0952a494a0089127&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=423579792&sign=df87cf668d6778939577cc9f2dd81b3aac6de5174ece4f47596ec66cd936aa820e4f29b91f199741554380f04be92e6b98e6fe2c8d31242e39b76fdedf70528ee7e2aac1ae899e710df2fb68&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?userid=423579792&sign=dfe980e3627b9b9e62aff54c4b37f0a3b548ccdbf5aeddcac5aa103fe17aa006360f0d2d0a981d89536540c287f44536cabae681ab5e5eea9b5c7fc5572b78476a4a695ce16ca9564a5f01edbe9fffcc&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=423579792&sign=aa18ac021e827d142d86764e24c7cbd103bb15d30d2c5e3a159b1bbc5405ab24739002abdbd23a9f3051d18e9329fd0e0cee645a0aab6b0e3d6dd100f6d4088cddce91a6e6e98184a9abe9c7&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?userid=423579792&sign=58076b68b40237994ffc51031784141589258945f1e4a443223dbf61b15b72a4ea2df6f567031ea536ec95c129cab5000a3a10b1289c2db36295f0ad34db9716dcc53474f49f397d294e09e58e0ab157&auth_token=acb0c268be4342419aa3ba49796b45e0
